# Time-averaged data for fix 2
# TimeStep v_dens
1000 0.421038
2000 0.504346
3000 0.535019
4000 0.549955
5000 0.55871
6000 0.564618
7000 0.568453
8000 0.571522
9000 0.573121
10000 0.574548
11000 0.576278
12000 0.577173
13000 0.578261
14000 0.579205
15000 0.580218
16000 0.58062
17000 0.581185
18000 0.58162
19000 0.582018
20000 0.582535
