# Time-averaged data for fix 2
# TimeStep v_dens
1000 0.351153
2000 0.41604
3000 0.437884
4000 0.44743
5000 0.453397
6000 0.458291
7000 0.461001
8000 0.463246
9000 0.465203
10000 0.466302
11000 0.468054
12000 0.46933
13000 0.471269
14000 0.471658
15000 0.47262
16000 0.473521
17000 0.474066
18000 0.474489
19000 0.474699
20000 0.474968
