# Time-averaged data for fix 2
# TimeStep v_dens
1000 0.53657
2000 0.590339
3000 0.607905
4000 0.617233
5000 0.623584
6000 0.627011
7000 0.629709
8000 0.631653
9000 0.632737
10000 0.633745
11000 0.634823
12000 0.635326
13000 0.635665
14000 0.636416
15000 0.636844
16000 0.637461
17000 0.638237
18000 0.638745
19000 0.639109
20000 0.639332
