# Time-averaged data for fix 2
# TimeStep v_dens
1000 0.648197
2000 0.657757
3000 0.661145
4000 0.662884
5000 0.663223
6000 0.663667
7000 0.664043
8000 0.66464
9000 0.664732
10000 0.665243
11000 0.665033
12000 0.664839
13000 0.664935
14000 0.664702
15000 0.665099
16000 0.66503
17000 0.665235
18000 0.665133
19000 0.665008
20000 0.66488
